,player_id,player_display_name,headshot_url,position,team,games_played,total_fantasy_ppr,avg_fantasy_ppr,std_fantasy_ppr,total_passing_yards,total_passing_tds,total_passing_2pt_conversions,total_rushing_yards,total_rushing_tds,total_carries,total_rushing_2pt_conversions,total_targets,total_receptions,total_receiving_yards,total_receiving_tds,total_interceptions,total_fumbles_lost
25,00-0038597,Chase Brown,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pv3sq3uzosixxexbznq5",RB,CIN,16,263.6,16.475,7.560643711572007,0,0,0,947,6,219,0,82,65,419,4,0,0
26,00-0034855,Baker Mayfield,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/i2uufyghiphx4oihgucm",QB,TB,16,258.7,16.16875,6.4054100831510645,3490,25,2,351,1,51,0,0,0,0,0,10,3
27,00-0037840,Kyren Williams,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/smsyrjrwy0lf0hu9hkvg",RB,LA,16,252.2,15.7625,6.206434832762954,0,0,0,1192,10,247,0,45,33,260,3,0,2
28,00-0036973,Travis Etienne,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gc0iljgj34piecyfueyd",RB,JAX,16,249.1,15.56875,6.64547151575166,0,0,0,1075,7,246,0,51,35,286,6,0,0
29,00-0036997,Javonte Williams,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hwzske22c4wrlf27qrih",RB,DAL,16,242.8,15.175,6.017031383221021,0,0,0,1201,11,252,0,51,35,137,2,0,2
30,00-0035700,Josh Jacobs,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/drtobqw2mk7yw3edjgwo",RB,GB,15,237.1,15.806666666666667,9.019222857451798,0,0,0,929,13,234,0,44,36,282,1,0,2
31,00-0036264,Jordan Love,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uneiwen9drvci9ahuebp",QB,GB,15,235.14000000000001,15.676,7.409080143407046,3381,23,2,199,0,47,0,0,0,0,0,6,2
32,00-0040122,Ashton Jeanty,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/syspis1mntov9kgspb7r",RB,LV,16,232.7,14.54375,8.954028423006037,0,0,0,888,5,240,0,68,52,339,5,0,1
33,00-0034844,Saquon Barkley,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ern1nbhivkmwkg82c7v1",RB,PHI,16,232.29999999999998,14.518749999999999,7.1937212206201036,0,0,0,1140,7,280,1,50,37,273,2,0,1
34,00-0034869,Sam Darnold,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s5t8m6bhedjwwtfw3ild",QB,SEA,16,226.6,14.1625,8.128550096214372,3850,25,2,86,0,29,0,0,0,0,0,14,6
35,00-0035710,Daniel Jones,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nhuiypfjzpkisxllinyv",QB,IND,13,226.44,17.41846153846154,7.084911015853629,3101,19,1,164,5,45,0,0,0,0,0,8,3
36,00-0036554,Nico Collins,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/osmqyvmib3pssxi6cyic",WR,HOU,15,226.2,15.08,6.499252704294988,0,0,0,15,1,2,0,120,71,1117,6,0,1
37,00-0031381,Davante Adams,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qtonvcqpixixqhc6lhnc",WR,LA,14,222.9,15.921428571428573,6.839385776675988,0,0,0,0,0,0,0,114,60,789,14,0,0
38,00-0036275,D'Andre Swift,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/owpmwzoilitcodc6cmxo",RB,CHI,15,222.8,14.853333333333333,6.496028090485828,0,0,0,1047,9,213,0,46,33,291,1,0,2
39,00-0040691,Jaxson Dart,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n6uymxssgiicjmxkzxoc",QB,NYG,13,221.18,17.013846153846153,10.610247828131017,2042,13,1,455,9,81,0,0,0,0,0,5,2
40,00-0035676,A.J. Brown,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",WR,PHI,15,220.3,14.686666666666667,9.751546885836456,0,0,0,0,0,0,0,121,78,1003,7,0,0
41,00-0034348,Courtland Sutton,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/r2sr6cbma4c7wc3isejj",WR,DEN,16,218.2,13.6375,7.1063234751405275,0,0,0,0,0,0,0,122,73,1012,7,0,0
42,00-0038117,Wan'Dale Robinson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yzcvyhmilvxedfjfjglc",WR,NYG,16,217.89999999999998,13.618749999999999,8.190011701253342,0,0,0,5,0,3,0,140,92,1014,4,0,0
43,00-0039064,Zay Flowers,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sqqh8gmxdpo55qwpsszj",WR,BAL,16,213.5,13.34375,6.537376512536713,0,0,0,62,1,10,0,112,82,1073,3,0,3
44,00-0036139,Rico Dowdle,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cvnrzndsiaojvvxz8vo5",RB,CAR,16,213.3,13.33125,9.786910901811664,0,0,0,1066,6,229,0,48,37,277,1,0,0
45,00-0033119,Jacoby Brissett,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rdxowm5dvpbb8p3aazbc",QB,ARI,13,211.82,16.293846153846154,7.878258625759819,3123,21,1,149,1,35,0,0,0,0,0,7,3
46,00-0023459,Aaron Rodgers,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",QB,PIT,15,209.32,13.954666666666666,6.37981847778789,3028,23,1,41,1,20,0,1,1,-9,0,7,1
47,00-0038120,Breece Hall,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m3dviruymtm2wl2zcpmr",RB,NYJ,16,207.66,12.97875,7.621515050609468,4,1,0,1065,4,243,0,48,36,350,1,0,2
48,00-0037240,Jameson Williams,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gpjarmglg1jhwq5wr1uu",WR,DET,16,206.5,12.90625,9.256382932873942,0,0,0,12,0,6,0,94,59,1043,7,0,0
49,00-0031588,Stefon Diggs,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cemcexmscsarpvwhafln",WR,NE,16,203.0,12.6875,6.9043826661041905,0,0,0,0,0,0,0,99,82,970,4,0,0
50,00-0040730,RJ Harvey,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/i1qxzydetb2orrynzvzk",RB,DEN,16,202.3,12.64375,7.6258305558586,0,0,0,512,7,131,0,54,46,351,5,0,1
51,00-0037228,Jaylen Warren,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f3txbqdarbabqtq4sx98",RB,PIT,15,202.2,13.479999999999999,5.800886631738783,0,0,0,892,6,197,0,40,35,300,2,0,0
52,00-0039150,Bryce Young,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",QB,CAR,15,201.5,13.433333333333334,7.925386576120586,2745,21,1,217,2,52,0,0,0,0,0,10,4
53,00-0040124,Tetairoa McMillan,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hokqp6gl5xujtlqwecg8",WR,CAR,16,200.9,12.55625,7.2986728245620105,0,0,0,0,0,0,0,116,66,929,7,0,0
54,00-0036919,Kenneth Gainwell,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f74x1ywy7oo5kq81vblh",RB,PIT,16,199.9,12.49375,9.425035366865561,0,0,0,527,4,109,0,76,65,422,3,0,1
55,00-0038559,Michael Wilson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yc8awtck004bz2a5oeb8",WR,ARI,16,199.7,12.48125,10.745679364284047,0,0,0,0,0,0,0,118,73,907,6,0,0
56,00-0036358,CeeDee Lamb,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ijxzvtumjhqu3zva1bwc",WR,DAL,12,199.5,16.625,4.429267331163144,0,0,0,2,0,1,0,116,74,1073,3,0,0
57,00-0036252,Michael Pittman,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z78xpye9hing1e7wke8b",WR,IND,16,199.3,12.45625,7.371473733250359,0,0,0,0,0,0,0,107,78,773,7,0,0
58,00-0036970,Kyle Pitts,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tbec213me3pszzszecqo",TE,ATL,16,199.0,12.4375,10.265403060766781,0,0,0,0,0,0,0,109,82,870,5,0,0
59,00-0034796,Lamar Jackson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cruqs6qpbykh7a2whd7p",QB,BAL,12,194.44,16.203333333333333,9.408888769604404,2311,18,1,340,2,63,0,0,0,0,0,6,3
60,00-0036613,Jaylen Waddle,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dsxd2zcqm42wsv4ewtfc",WR,MIA,16,194.12,12.1325,6.871203194007098,8,0,0,28,0,2,0,100,64,910,6,0,0
61,00-0040129,Emeka Egbuka,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qolqqtwamffi0pi4np7h",WR,TB,16,193.9,12.11875,8.304554473299577,0,0,0,9,0,2,0,124,62,930,6,0,0
62,00-0036912,DeVonta Smith,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vj2fz8veorg1k5qthnjm",WR,PHI,16,193.6,12.1,7.994998436522673,0,0,0,0,0,0,0,109,74,956,4,0,0
